<UNK> 1.0	SPN
<SIL> 1.0	SIL
අ 1.0	a
අං 1.0	a x
අංක 1.0	a x k @
අංකදරන 1.0	a x k @ d^ @ r @ n @
අංකමේ 1.0	a x k @ m e:
අංකය 1.0	a x k @ y @
අංකයට 1.0	a x k @ y @ t @
අංකයත් 1.0	a x k @ y a t^
අංකයයි 1.0	a x k @ y a y i
අංකයෙන් 1.0	a x k @ y e n
අංකල් 1.0	a x k a l
අංකල්ගේ 1.0	a x k a l g e:
අංකල්ට 1.0	a x k a l t @
අංකල්ල 1.0	a x k a l l @
අංකවලින් 1.0	a x k @ w @ l i n
අංකුර 1.0	a x k u r @
අංකුරය 1.0	a x k u r @ y @
අංකුරයක් 1.0	a x k u r @ y a k
අංකුසයක් 1.0	a x k u s @ y a k
අංකෙ 1.0	a x k e
අංකෙළිය 1.0	a x k e l i y @
අංග 1.0	a x g @
අංගකින් 1.0	a x g @ k i n
අංගම් 1.0	a x g a m
අංගම්පොර 1.0	a x g a m p o r @
අංගම්පොරට 1.0	a x g a m p o r @ t @
අංගම්මන 1.0	a x g a m m @ n @
අංගමු 1.0	a x g @ m u
අංගය 1.0	a x g @ y @
අංගයක් 1.0	a x g @ y a k
අංගයකි 1.0	a x g @ y @ k i
අංගයට 1.0	a x g @ y @ t @
අංගයන් 1.0	a x g @ y a n
අංගවලට 1.0	a x g @ w @ l @ t @
අංගවලින් 1.0	a x g @ w @ l i n
අංගවිකල 1.0	a x g @ w i k @ l @
අංගුත්තර 1.0	a x g u t^ t^ @ r @
අංගුලිමාල 1.0	a x g u l i m a: l @
අංගුලිමාලටත් 1.0	a x g u l i m a: l @ t a t^
අංගොඩ 1.0	a x g o d @
අංජනම් 1.0	a x j @ n a m
අංජු 1.0	a x j u
අංදිග 1.0	a x d^ i g @
අංශ 1.0	a x s^ @
අංශක 1.0	a x s^ @ k @
අංශභාග 1.0	a x s^ @ b a: g @
අංශය 1.0	a x s^ @ y @
අංශයක 1.0	a x s^ @ y @ k @
අංශයකට 1.0	a x s^ @ y @ k @ t @
අංශයකම 1.0	a x s^ @ y @ k @ m @
අංශයක් 1.0	a x s^ @ y a k
අංශයකි 1.0	a x s^ @ y @ k i
අංශයකින් 1.0	a x s^ @ y @ k i n
අංශයට 1.0	a x s^ @ y @ t @
අංශයත් 1.0	a x s^ @ y a t^
අංශයන්ට 1.0	a x s^ @ y a n t @
අංශයයි 1.0	a x s^ @ y a y i
අංශයෙන් 1.0	a x s^ @ y e n
අංශයේ 1.0	a x s^ @ y e:
අංශවල 1.0	a x s^ @ w @ l @
අංශවලට 1.0	a x s^ @ w @ l @ t @
අංශවලටත් 1.0	a x s^ @ w @ l @ t a t^
අංශු 1.0	a x s^ u
අංශුමාත්‍රයක් 1.0	a x s^ u m a: t^ t^ r @ y a k
අංශුවක් 1.0	a x s^ u w a k
අංශෙම 1.0	a x s^ e m @
අආසා 1.0	a a: s a:
අකටයුත්තක 1.0	a k @ t @ y u t^ t^ @ k @
අකටයුතු 1.0	a k @ t @ y u t^ u
අකටයුතුකම් 1.0	a k @ t @ y u t^ u k a m
අකම්පිත 1.0	a k a m p i t^ @
අකරගම 1.0	a k @ r @ g @ m @
අකරණ 1.0	a k @ r @ n @
අකර්මණ්‍ය 1.0	a k a r m a n n y @
අකරුණාව 1.0	a k a r u n a: w @
අකලංක 1.0	a k @ l a x k @
අකලට 1.0	a k @ l @ t @
අකල් 1.0	a k a l
අකල්ප 1.0	a k a l p @
අක්ක 1.0	a k k @
අක්කගෙ 1.0	a k k @ g e
අක්කගේ 1.0	a k k @ g e:
අක්කට 1.0	a k k @ t @
අක්කත් 1.0	a k k a t^
අක්කනං 1.0	a k k @ n a x
අක්කයි 1.0	a k k a y i
අක්කර 1.0	a k k @ r @
අක්කරක 1.0	a k k @ r @ k @
අක්කරට 1.0	a k k @ r @ t @
අක්කරයක් 1.0	a k k @ r @ y a k
අක්කරේපත්තුව 1.0	a k k @ r e: p a t^ t^ u w @
අක්කලා 1.0	a k k @ l a:
අක්කව 1.0	a k k @ w @
අක්කා 1.0	a k k a:
අක්කාට 1.0	a k k a: t @
අක්කාත් 1.0	a k k a: t^
අක්කි 1.0	a k k i
අක්කියාල 1.0	a k k i y a: l @
අක්කෙරේපත්තුවෙන් 1.0	a k k e r e: p a t^ t^ u w e n
අක්කේ 1.0	a k k e:
අක්ඛිත 1.0	a k k i t^ @
අක්තපත්‍ර 1.0	a k t^ @ p a t^ t^ r @
අක්බර් 1.0	a k b @ r
අක්මීමන 1.0	a k m i: m @ n @
අක්ෂය 1.0	a k s^ @ y @
අක්ෂර 1.0	a k s^ @ r @
අක්ෂරයක 1.0	a k s^ @ r @ y @ k @
අක්ෂරයක් 1.0	a k s^ @ r @ y a k
අක්ෂරයෙන් 1.0	a k s^ @ r @ y e n
අක්ෂේ 1.0	a k s^ e:
අක්ෂේයි 1.0	a k s^ e: y i
අක්‍රමිකතා 1.0	a k r @ m i k @ t^ a:
අක්‍රමිකතාවයට 1.0	a k r @ m i k @ t^ a: w @ y @ t @
අක්‍රෝධයෙන් 1.0	a k r o: d^ @ y e n
අකා 1.0	a k a:
අකාරයට 1.0	a k a: r @ y @ t @
අකාර්යක්ෂමතාව 1.0	a k a: r y a k s^ @ m @ t^ a: w @
අකාර්යක්ෂමතාවකින් 1.0	a k a: r y a k s^ @ m @ t^ a: w @ k i n
අකාරුණික 1.0	a k a: r u n i k @
අකාලයේ 1.0	a k a: l @ y e:
අකාලික 1.0	a k a: l i k @
අකාලෙ 1.0	a k a: l e
අකිර 1.0	a k i r @
අකිල 1.0	a k i l @
අකිලගෙයි 1.0	a k i l @ g e y i
අකිලගේ 1.0	a k i l @ g e:
අකීකරු 1.0	a k i: k @ r u
අකු 1.0	a k u
අකුණක් 1.0	a k u n a k
අකුණු 1.0	a k u n u
අකුණුවලට 1.0	a k u n u w @ l @ t @
අකුධාතුන් 1.0	a k u d^ a: t^ u n
අකුර 1.0	a k u r @
අකුරක් 1.0	a k u r a k
අකුරට 1.0	a k u r @ t @
අකුරණට 1.0	a k u r @ n @ t @
අකුරු 1.0	a k u r u
අකුරුවලට 1.0	a k u r u w @ l @ t @
අකුරුවලින් 1.0	a k u r u w @ l i n
අකුල් 1.0	a k u l
අකුලා 1.0	a k u l a:
අකුලාගෙන 1.0	a k u l a: g e n @
අකුශලය 1.0	a k u s^ @ l @ y @
අකුශලයකි 1.0	a k u s^ @ l @ y @ k i
අකුසල 1.0	a k u s @ l @
අකුසලට 1.0	a k u s @ l @ t @
අකුසලය 1.0	a k u s @ l @ y @
